day,ym,RM_monthly,rf_monthly,RM_RF_monthly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
01feb1983,1983m2,.18727447,.0082833329,.17899114,-.024949228,.086492196,-.0051885545,-.016267844,.11588331,-.020791151
01mar1983,1983m3,.0043055415,.008869445,-.0045639034,.026222918,.089528657,.047448825,.010760807,.075268626,.05995455
01apr1983,1983m4,.086422555,.0090833334,.077339225,-.037991844,.069936156,.057931311,-.08252193,.064526707,.095549896
02may1983,1983m5,-.00988835,.009213889,-.019102238,.062749296,.0082531795,.032977447,.05404219,-.030227847,.029702187
01jun1983,1983m6,-.032938693,.0092083337,-.042147025,.02945471,-.10172828,.050174966,.0059174742,-.083443716,.061916236
01jul1983,1983m7,.093333334,.0098597221,.083473608,-.027430519,.03336126,.044065695,.0097039342,.035959844,.024703909
01aug1983,1983m8,.083902441,.0097736111,.074128829,.0066406354,-.013643105,.004539378,.05418938,-.008107014,-.0088374242
01sep1983,1983m9,-.01632436,.0092083337,-.025532693,.079056777,-.049937464,-.039759777,.072166584,-.026708938,-.052292388
03oct1983,1983m10,-.015576259,.010419445,-.025995705,.013717439,.0075949579,.019755224,.024320798,.0086790975,.013577666
01nov1983,1983m11,.076789826,.010083334,.066706493,.000011198223,.019366696,.011482891,.0018857078,.0087029459,-.0049322583
01dec1983,1983m12,-.044122264,.010376389,-.054498654,-.022706119,-.031681389,.017071005,-.020425765,-.025583215,-.0093308305
02jan1984,1984m1,.091927834,.010161111,.081766725,-.013081845,.06668558,-.0341116,-.0036298458,.053427719,-.038100515
01feb1984,1984m2,-.022649525,.0088611115,-.031510636,.022144619,.018918343,-.0027680967,.018370545,.019215453,.00045433082
01mar1984,1984m3,.038521454,.0096875001,.028833954,-.0064865947,.051219627,-.035688803,.0073235058,.055769347,-.030292289
02apr1984,1984m4,-.037722223,.00875,-.046472222,.020435089,-.0054724887,-.030119959,.0080570811,.0073984452,-.00635463
01may1984,1984m5,-.072108999,.008998611,-.081107609,.030857559,.025173219,.036001503,.025783652,.033338346,.035246193
01jun1984,1984m6,.034055084,.0096666673,.024388418,.0085577434,-.016599407,-.0070892824,.01260963,-.01442598,-.011209084
02jul1984,1984m7,.003690481,.011797222,-.0081067411,.0087410202,.014725011,-.019076796,.0079413122,.0077294139,-.011971965
01aug1984,1984m8,-.02020303,.011754166,-.031957194,.015888814,-.0073736124,.0025246763,.0018238438,-.0080471439,-.0050044814
