day,yw,RM_weekly,rf_weekly,RM_RF_weekly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
10jan1983,1983w2,.094882399,.0020611112,.092821285,-.019202104,-.012987126,.0028632712,-.017216198,-.014163589,.0040550791
17jan1983,1983w3,.013422606,.0020805555,.011342051,-.00094603142,.027325815,.0035686647,-.00034291518,.029116977,.0091550918
24jan1983,1983w4,.025894729,.0020513888,.023843341,-.00010221638,.0099579534,.016466722,.016281953,.0070665088,.018937996
31jan1983,1983w5,.05643389,.0020611112,.05437278,.00039810935,-.0043510012,-.023316177,.0079188952,.017509816,-.038172312
07feb1983,1983w6,.032964494,.0020513888,.030913105,-.014462665,-.0032475493,-.016579716,-.014977353,-.0066529955,-.018066222
14feb1983,1983w7,.053952005,.0020416668,.051910337,.0068760416,.039690115,-.0041430481,.014247627,.043802306,-.0010100473
21feb1983,1983w8,.056444552,.0020416668,.054402884,-.0071180942,.054044914,.030032516,-.0085135661,.065563038,.018933978
28feb1983,1983w9,.026475759,.0020125001,.024463259,-.01893683,.026581667,.025792489,-.022605754,.023970801,.023217564
07mar1983,1983w10,-.02434906,.0020319445,-.026381005,.018586323,.022631459,.015721017,.018074341,.027181927,.0023138691
14mar1983,1983w11,.04118488,.0020611112,.03912377,.002471139,.0080277268,.029968677,-.00034265313,.0030899984,.044468772
21mar1983,1983w12,-.058731422,.0020999999,-.06083142,.013548992,.010891521,-.010073112,.0039325394,.00037092529,-.0040485393
28mar1983,1983w13,.014869603,.0021194443,.012750159,.0069972025,.010303982,-.0020151129,.01090317,.011309488,.0087882914
04apr1983,1983w14,-.0082211122,.0021194443,-.010340557,.012157328,.00020629494,.016743753,.00094117795,-.0076622544,.032827586
11apr1983,1983w15,.025808584,.0021097222,.023698863,-.014761473,.04774661,.0065095201,-.033056363,.03592607,.0083739981
18apr1983,1983w16,.05361525,.0021194443,.051495805,-.024310999,.00048025046,.031962126,-.043900635,.0035567735,.045969762
